Time Elapsed(s) | Total Requests | Total Items | RPS | Items/s
------------------------------------------------------scrapy ----------
2.16s | 100 | 0 | 46.28 | 0.00
3.38s | 100 | 99 | 0.00 | 81.20
5.22s | 100 | 199 | 0.00 | 54.24
7.14s | 100 | 299 | 0.00 | 52.21
8.63s | 100 | 310 | 0.00 | 7.40
10.09s | 100 | 410 | 0.00 | 68.16
11.66s | 100 | 511 | 0.00 | 64.38
13.24s | 100 | 610 | 0.00 | 62.74
14.69s | 100 | 646 | 0.00 | 24.78
16.13s | 100 | 744 | 0.00 | 68.40
17.57s | 100 | 782 | 0.00 | 26.31
19.02s | 100 | 807 | 0.00 | 17.25
20.41s | 100 | 907 | 0.00 | 71.66
22.13s | 100 | 1004 | 0.00 | 56.60
23.67s | 100 | 1106 | 0.00 | 66.16
25.29s | 100 | 1208 | 0.00 | 62.82
26.55s | 100 | 1308 | 0.00 | 79.73
28.22s | 100 | 1367 | 0.00 | 35.31
30.13s | 100 | 1467 | 0.00 | 52.40
31.53s | 100 | 1569 | 0.00 | 72.72
33.38s | 100 | 1670 | 0.00 | 54.49
34.94s | 100 | 1771 | 0.00 | 64.88
36.17s | 100 | 1871 | 0.00 | 81.34
38.02s | 100 | 1904 | 0.00 | 17.84
39.46s | 100 | 2007 | 0.00 | 71.64
41.23s | 100 | 2109 | 0.00 | 57.66
42.43s | 100 | 2211 | 0.00 | 84.96
44.06s | 100 | 2312 | 0.00 | 61.89
45.52s | 100 | 2412 | 0.00 | 68.32
47.22s | 100 | 2462 | 0.00 | 29.46
48.65s | 100 | 2563 | 0.00 | 70.76
50.10s | 100 | 2666 | 0.00 | 70.98
51.33s | 100 | 2701 | 0.00 | 28.39
52.68s | 100 | 2802 | 0.00 | 75.14
53.92s | 100 | 2902 | 0.00 | 80.16
55.39s | 100 | 2961 | 0.00 | 40.27
57.47s | 100 | 3061 | 0.00 | 48.09
59.34s | 100 | 3145 | 0.00 | 44.74
60.55s | 100 | 3194 | 0.00 | 40.52
62.11s | 100 | 3204 | 0.00 | 6.41
63.50s | 100 | 3279 | 0.00 | 54.20
65.78s | 100 | 3336 | 0.00 | 24.91
67.22s | 100 | 3436 | 0.00 | 69.77
68.69s | 100 | 3540 | 0.00 | 70.75
70.14s | 100 | 3596 | 0.00 | 38.60
71.56s | 100 | 3696 | 0.00 | 70.60
73.27s | 100 | 3797 | 0.00 | 59.04
74.50s | 100 | 3899 | 0.00 | 82.54
75.98s | 100 | 3964 | 0.00 | 43.95
78.05s | 100 | 4066 | 0.00 | 49.26
79.28s | 100 | 4166 | 0.00 | 81.56
80.51s | 100 | 4215 | 0.00 | 39.88
82.19s | 100 | 4315 | 0.00 | 59.43
83.44s | 100 | 4399 | 0.00 | 67.06
85.34s | 100 | 4499 | 0.00 | 52.63
86.76s | 100 | 4600 | 0.00 | 71.42
88.18s | 100 | 4703 | 0.00 | 72.13
89.56s | 100 | 4757 | 0.00 | 39.10
91.08s | 100 | 4838 | 0.00 | 53.49
92.27s | 100 | 4932 | 0.00 | 79.15
94.14s | 100 | 5033 | 0.00 | 54.00
95.96s | 100 | 5100 | 0.00 | 36.83
97.42s | 100 | 5201 | 0.00 | 69.10
99.44s | 100 | 5235 | 0.00 | 16.85
101.32s | 100 | 5336 | 0.00 | 53.64
102.88s | 100 | 5437 | 0.00 | 64.58
104.41s | 100 | 5537 | 0.00 | 65.46
107.28s | 100 | 5640 | 0.00 | 35.90
108.78s | 100 | 5740 | 0.00 | 66.68
110.24s | 100 | 5842 | 0.00 | 69.63
112.11s | 100 | 5943 | 0.00 | 54.26
114.08s | 100 | 6045 | 0.00 | 51.68
115.35s | 100 | 6146 | 0.00 | 79.67
116.77s | 100 | 6248 | 0.00 | 71.86
118.34s | 100 | 6349 | 0.00 | 64.31
119.59s | 100 | 6450 | 0.00 | 80.85
121.45s | 100 | 6551 | 0.00 | 54.20
123.20s | 100 | 6650 | 0.00 | 56.72
124.71s | 100 | 6752 | 0.00 | 67.31
126.10s | 100 | 6853 | 0.00 | 72.47
127.52s | 100 | 6957 | 0.00 | 73.50
129.38s | 100 | 7057 | 0.00 | 53.75
130.64s | 100 | 7160 | 0.00 | 81.75
132.15s | 100 | 7259 | 0.00 | 65.43
134.18s | 100 | 7359 | 0.00 | 49.34
135.51s | 100 | 7460 | 0.00 | 75.92
137.29s | 100 | 7560 | 0.00 | 56.18
138.72s | 100 | 7663 | 0.00 | 72.06
140.39s | 100 | 7762 | 0.00 | 59.25
142.07s | 100 | 7821 | 0.00 | 35.23
143.47s | 100 | 7923 | 0.00 | 72.47
145.25s | 100 | 8024 | 0.00 | 56.99
146.70s | 100 | 8125 | 0.00 | 69.40
148.09s | 100 | 8226 | 0.00 | 72.58
149.52s | 100 | 8325 | 0.00 | 69.35
151.13s | 100 | 8426 | 0.00 | 62.72
152.59s | 100 | 8526 | 0.00 | 68.52
153.98s | 100 | 8626 | 0.00 | 71.70
155.29s | 100 | 8728 | 0.00 | 78.40
157.53s | 100 | 8827 | 0.00 | 44.12

Final Statistics:
Total time: 157.65s
Total requests: 100
Total items: 8929
Average RPS: 0.63
Average Items/s: 56.64
